"Complex"	"Index"	"Subunit"	"Cor"
"CPX-1764"	"2"	"CPX-1764"	"NaN"
"CPX-1765"	"1"	"COL24A1"	"2"
"CPX-1767"	"2"	"CPX-1767"	"NaN"
"CPX-1768"	"1"	"COL27A1"	"2"
"CPX-1769"	"2"	"CPX-1769"	"NaN"
"CPX-1770"	"3"	"LAMA1"	"0"
"CPX-1770"	"1"	"LAMB1"	"1.15491410746809"
"CPX-1770"	"2"	"LAMC1"	"1.20029713622061"
"CPX-1771"	"3"	"LAMA2"	"0.694096401801621"
"CPX-1771"	"2"	"LAMC1"	"1.01632555876952"
"CPX-1771"	"1"	"LAMB1"	"1.47815666654255"
"CPX-1772"	"4"	"CPX-1772"	"0"
"CPX-1772"	"3"	"LAMB2"	"0.0297023852658828"
"CPX-1772"	"1"	"LAMC1"	"1.99816604436405"
"CPX-1773"	"3"	"LAMB2"	"0.0449185743221762"
"CPX-1773"	"2"	"LAMA2"	"0.402678359235306"
"CPX-1773"	"1"	"LAMC1"	"1.80976444382594"
"CPX-1777"	"3"	"LAMA4"	"0.109315875951687"
"CPX-1777"	"1"	"LAMB1"	"1.74955840036205"
"CPX-1777"	"2"	"LAMC1"	"1.79454956329964"
"CPX-1778"	"2"	"LAMB2"	"0.186591523917149"
"CPX-1778"	"1"	"LAMC1"	"0.43060518076501"
"CPX-1778"	"3"	"LAMA4"	"1.79638101604722"
"CPX-1779"	"1"	"LAMA5"	"0.722813070784486"
"CPX-1779"	"2"	"LAMB1"	"1.05265848927998"
"CPX-1779"	"3"	"LAMC1"	"1.37304158607606"
"CPX-1780"	"3"	"LAMB2"	"0.0240422576007404"
"CPX-1780"	"2"	"LAMC1"	"0.956007702011328"
"CPX-1780"	"1"	"LAMA5"	"1.40565544946186"
"CPX-1781"	"3"	"LAMC3"	"0"
"CPX-1781"	"1"	"LAMB1"	"0.677867061129648"
"CPX-1781"	"2"	"LAMA2"	"1.59650055133218"
"CPX-1782"	"3"	"LAMC3"	"0"
"CPX-1782"	"1"	"LAMB2"	"0.0860899503205571"
"CPX-1782"	"2"	"LAMA4"	"1.97838011700879"
"CPX-1783"	"4"	"CPX-1783"	"0"
"CPX-1783"	"2"	"LAMB2"	"0.0491489330880936"
"CPX-1783"	"1"	"LAMA5"	"1.99702708349671"
"CPX-1784"	"4"	"CPX-1784"	"0"
"CPX-1784"	"2"	"LAMB2"	"0.0578301706174942"
"CPX-1784"	"1"	"LAMA5"	"1.99598398269855"
"CPX-1785"	"1"	"THBS1"	"1.7126966450998"
"CPX-1788"	"1"	"THBS2"	"1.27735009811261"
"CPX-1789"	"1"	"THBS3"	"2"
"CPX-1790"	"1"	"THBS4"	"2"
"CPX-1791"	"2"	"CPX-1791"	"NaN"
"CPX-1794"	"2"	"ITGA5"	"0.578362978644216"
"CPX-1794"	"1"	"ITGB1"	"1.42163702135578"
"CPX-1795"	"2"	"ITGAV"	"0.795875854768068"
"CPX-1795"	"1"	"ITGB3"	"1.20412414523193"
"CPX-1796"	"1"	"ITGAV"	"0"
"CPX-1796"	"2"	"ITGB5"	"1.35355339059327"
"CPX-1797"	"2"	"ITGA3"	"0.901941932430908"
"CPX-1797"	"1"	"ITGB1"	"1.09805806756909"
"CPX-1798"	"3"	"CPX-1798"	"0"
"CPX-1798"	"1"	"ITGB1"	"1.70710678118655"
"CPX-1799"	"3"	"CPX-1799"	"0"
"CPX-1799"	"1"	"ITGB3"	"1.51639777949432"
"CPX-1801"	"3"	"CPX-1801"	"0"
"CPX-1801"	"1"	"ITGB1"	"1.66666666666667"
"CPX-1802"	"3"	"CPX-1802"	"0"
"CPX-1802"	"1"	"ITGB1"	"1"
"CPX-1803"	"3"	"CPX-1803"	"0"
"CPX-1803"	"1"	"ITGB1"	"1.57735026918963"
"CPX-1804"	"3"	"CPX-1804"	"0"
"CPX-1804"	"1"	"ITGB1"	"NaN"
"CPX-1815"	"3"	"CPX-1815"	"0"
"CPX-1815"	"1"	"ITGB1"	"1"
"CPX-1816"	"3"	"CPX-1816"	"0"
"CPX-1816"	"1"	"ITGB1"	"NaN"
"CPX-1817"	"1"	"ITGA10"	"0"
"CPX-1817"	"2"	"ITGB1"	"NaN"
"CPX-1818"	"3"	"CPX-1818"	"0"
"CPX-1818"	"1"	"ITGB1"	"NaN"
"CPX-1819"	"3"	"CPX-1819"	"0"
"CPX-1819"	"1"	"ITGB1"	"1.57735026918963"
"CPX-1820"	"3"	"CPX-1820"	"0"
"CPX-1820"	"1"	"ITGAV"	"0.764297739604484"
"CPX-1821"	"3"	"CPX-1821"	"0"
"CPX-1821"	"1"	"ITGAV"	"1.75"
"CPX-1822"	"1"	"ITGB4"	"0"
"CPX-1822"	"2"	"ITGA6"	"1"
"CPX-1823"	"1"	"ITGA4"	"1.05096471914376"
"CPX-1823"	"2"	"ITGB7"	"1.2"
"CPX-1824"	"1"	"ITGB7"	"1.02404930351219"
"CPX-1824"	"2"	"ITGAE"	"1.06003218587976"
"CPX-1825"	"2"	"ITGAL"	"0.986824986697348"
"CPX-1825"	"1"	"ITGB2"	"1.10482848367219"
"CPX-1826"	"3"	"CPX-1826"	"0"
"CPX-1826"	"1"	"ITGB2"	"2"
"CPX-1827"	"2"	"ITGAX"	"NaN"
"CPX-1827"	"3"	"CPX-1827"	"NaN"
"CPX-1828"	"3"	"CPX-1828"	"0"
"CPX-1828"	"1"	"ITGB2"	"2"
"CPX-1829"	"4"	"CPX-1829"	"0"
"CPX-1829"	"2"	"HUS1"	"0.0232280275168658"
"CPX-1829"	"1"	"RAD1"	"1.9994193215776"
"CPX-1842"	"3"	"CPX-1842"	"0"
"CPX-1842"	"1"	"PPP4C"	"2"
"CPX-1843"	"3"	"PPP4R3A"	"0"
