Complex	Index	Subunit	zScore-dis
CPX-2015	2	CDK2	4.898979486
CPX-2016	1	CCNE2	0
CPX-2016	2	CDK2	4.898979486
CPX-2093	2	POLG2	1.732110208
CPX-2093	1	POLG	4.586127047
CPX-2097	5	CPX-2097	0
CPX-2097	1	POLD1	3.12434145
CPX-2097	3	POLD3	3.932581276
CPX-2097	4	POLD4	4.383331992
CPX-2108	1	POLE2	0
CPX-2108	3	POLE4	0.846115729
CPX-2108	2	POLE	3.234080244
CPX-2108	4	POLE3	6.004503918
CPX-2131	1	PMM1	4
CPX-2154	1	GMPR2	4
CPX-2157	2	PGGT1B	3
CPX-2157	1	FNTA	3.872983346
CPX-2159	4	CPX-2159	0
CPX-2159	1	GABRA1	0
CPX-2159	3	GABRB2	5.656854249
CPX-2161	2	UBA2	2.618614683
CPX-2161	1	SAE1	4.140393356
CPX-2164	2	GABRB3	NA
CPX-2164	3	GABRA6	NA
CPX-2164	4	CPX-2164	NA
CPX-2165	2	FNTB	3.464101615
CPX-2165	1	FNTA	3.464101615
CPX-2166	2	GABRB3	NA
CPX-2166	3	GABRA3	NA
CPX-2166	4	CPX-2166	NA
CPX-2167	2	GABRG2	NA
CPX-2167	3	GABRB3	NA
CPX-2167	4	CPX-2167	NA
CPX-2168	2	GABRB3	NA
CPX-2168	3	GABRA5	NA
CPX-2168	4	CPX-2168	NA
CPX-2173	3	CPX-2173	0
CPX-2173	1	RAMP1	4.898979486
CPX-2174	2	GABRB3	NA
CPX-2174	3	GABRA2	NA
CPX-2174	4	CPX-2174	NA
CPX-2188	3	SCNN1G	0
CPX-2188	4	CPX-2188	0
CPX-2188	1	SCNN1A	5.656854249
CPX-2201	3	CPX-2201	0
CPX-2201	1	CDK5	4.898979486
CPX-222	1	CCNT1	0
CPX-222	2	CDK9	4.898979486
CPX-2375	3	PDIA3	0
CPX-2375	4	CPX-2375	0
CPX-2375	1	TAPBP	5.656854249
CPX-241	2	CDK12	3
CPX-241	1	CCNK	3.872983346
CPX-2502	2	KLRD1	NA
CPX-2502	3	CPX-2502	NA
CPX-256	1	TEAD1	0
CPX-256	2	YAP1	4.898979486
CPX-262	4	CPX-262	0
CPX-262	2	HEL-S-70	4.898979486
CPX-262	1	VCP	4.898979486
CPX-2666	1	EIF4E	0.016176008
CPX-2666	3	EIF4G1	0.60297201
CPX-2666	2	EIF4A1	5.728241695
CPX-2674	2	CAPN2	3
CPX-2674	1	CAPNS1	3.872983346
CPX-272	2	HTR3D	NA
CPX-272	3	CPX-272	NA
CPX-273	2	HTR3A	NA
CPX-273	3	CPX-273	NA
CPX-276	2	HTR3C	NA
CPX-276	3	CPX-276	NA
CPX-2879	1	PDGFC	4
CPX-2880	1	PDGFD	4
CPX-2882	1	PDGFB	1.667307562
CPX-2882	2	PDGFRB	5.242155858
CPX-2884	2	PDGFRA	2.851311804
CPX-2884	1	PDGFB	4.58757525
CPX-2885	3	PDGFRA	2.836394468
CPX-2885	1	PDGFB	3.741694766
CPX-2885	2	PDGFA	4.274142573
CPX-2886	1	PDGFB	1.674832599
CPX-2886	2	PDGFA	2.37288861
CPX-2886	3	PDGFRB	5.645161584
CPX-2887	2	PDGFC	3.371883275
CPX-2887	1	PDGFRA	3.812838086
CPX-2888	3	PDGFC	0.232052068
CPX-2888	2	PDGFRA	0.471085588
CPX-2888	1	PDGFRB	5.765284916
CPX-2889	2	PDGFD	0.212479968
CPX-2889	1	PDGFRB	4.954432464
